,base,snap,calc,SCF,ex_en,osc
0,/home/share/wesolowski/NR_CGE_HUJI,major_basin,iso1,-985.22691667,3.074207,2.499717
1,/home/share/wesolowski/NR_CGE_HUJI,minor_basin,iso1,-985.22672055,3.082308,2.496734
2,/home/share/wesolowski/NR_CGE_HUJI,maj_bla_bin_0,iso1,-985.21493275,2.825049,2.540335
3,/home/share/wesolowski/NR_CGE_HUJI,maj_bla_bin_1,iso1,-985.22413273,2.925193,2.553157
4,/home/share/wesolowski/NR_CGE_HUJI,maj_bla_bin_2,iso1,-985.226691,3.031795,2.518156
5,/home/share/wesolowski/NR_CGE_HUJI,maj_bla_bin_3,iso1,-985.22657842,3.137427,2.471533
6,/home/share/wesolowski/NR_CGE_HUJI,maj_bla_bin_4,iso1,-985.22471608,3.263326,2.421849
7,/home/share/wesolowski/NR_CGE_HUJI,maj_bla_bin_5,iso1,-985.21712977,3.414189,2.365073
8,/home/share/wesolowski/NR_CGE_HUJI,min_bla_bin_0,iso1,-985.20701166,2.847941,2.554037
9,/home/share/wesolowski/NR_CGE_HUJI,min_bla_bin_1,iso1,-985.2200594,2.922863,2.557427
10,/home/share/wesolowski/NR_CGE_HUJI,min_bla_bin_2,iso1,-985.2259341,3.027,2.517512
11,/home/share/wesolowski/NR_CGE_HUJI,min_bla_bin_3,iso1,-985.22644116,3.134286,2.470424
12,/home/share/wesolowski/NR_CGE_HUJI,min_bla_bin_4,iso1,-985.22569348,3.280559,2.415929
13,/home/share/wesolowski/NR_CGE_HUJI,min_bla_bin_5,iso1,-985.18489162,3.44019,2.284969
